Reference,Value,Digikey,Qty,Extra,Footprint,Datasheet
R2,220,CR1206-FX-2200ELFCT-ND,,"CR1206-FX-1000ELFCT-ND, CR1206-FX-3900ELFCT-ND",Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
R3,220,,,,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
R4,220,,,,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
R5,220,,,,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
R6,220,,,,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
R7,220,,,,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
R8,220,,,,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
R9,220,,,,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
R10,220,,,,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
R11,220,,,,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
R12,220,,,,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
R13,220,,,,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
R1,0R,CR1206-J/-000ELFCT-ND,,,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
C5,100n,,,,Capacitor_SMD:C_0402_1005Metric,~
C4,100n,,,,Capacitor_SMD:C_0402_1005Metric,~
C3,100n,,,,Capacitor_SMD:C_0402_1005Metric,~
C7,100n,,,,Capacitor_SMD:C_0402_1005Metric,~
C8,100n,,,,Capacitor_SMD:C_0402_1005Metric,~
C12,100n,,,,Capacitor_SMD:C_0402_1005Metric,~
C1,10p,399-7746-1-ND,,,Capacitor_SMD:C_0402_1005Metric,~
C2,10p,,,,Capacitor_SMD:C_0402_1005Metric,~
C11,1u,,,,Capacitor_SMD:C_0402_1005Metric,~
C6,1u,,,,Capacitor_SMD:C_0402_1005Metric,~
C9,22u,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~
C10,22u,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~
Y1,32kHz,SER4301CT-ND,,,Crystal:Crystal_SMD_SeikoEpson_MC146-4Pin_6.7x1.5mm_HandSoldering,~
BT1,Battery_Cell,36-3034-ND,,,Battery:BatteryHolder_Keystone_3034_1x20mm,~
J1,Conn_ARM_JTAG_SWD_10,SAM1161-05-ND,,,Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Vertical_SMD,http://infocenter.arm.com/help/topic/com.arm.doc.ddi0314h/DDI0314H_coresight_components_trm.pdf
U1,ICM-20602,1428-1060-1-ND,,,Package_LGA:LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y,http://www.invensense.com/wp-content/uploads/2016/10/DS-000176-ICM-20602-v1.0.pdf
D6,LED,475-2488-1-ND,100,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~
D11,LED,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~
D2,LED,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~
D1,LED,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~
D7,LED,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~
D12,LED,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~
D3,LED,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~
D8,LED,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~
D13,LED,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~
D18,LED,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~
D17,LED,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~
D16,LED,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~
D19,LED,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~
D14,LED,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~
D9,LED,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~
D4,LED,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~
D24,LED,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~
D23,LED,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~
D22,LED,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~
D21,LED,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~
D25,LED,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~
D20,LED,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~
D15,LED,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~
D10,LED,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~
D5,LED,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~
